WT	<Solution 755.003 at 0x1a8cd31c3d0>
genes knocked out	BIOMASS_maintenance flux using 10% technique	time technique 1	BIOMASS_maintenance flux using total KO	time technique 2
['26_AT1']	755.003215550663	2.6157944202423096	755.003215550663	2.44873046875
['314_AT1', '314_AT2']	755.003215550663	2.6426076889038086	755.003215550663	2.5159342288970947
['8639_AT1']	755.003215550663	2.2936525344848633	755.003215550663	2.5852997303009033
['1591_AT1']	755.003215550663	2.760586738586426	755.003215550663	2.8558309078216553
['1594_AT1']	755.003215550663	2.472201347351074	755.003215550663	2.8452420234680176
['10993_AT1']	755.003215550663	2.6509339809417725	755.003215550663	4.4617204666137695
['6818_AT1', '6818_AT2', '6818_AT3']	755.003215550663	2.488726854324341	755.003215550663	2.7917392253875732
['89874_AT1']	755.0032155506631	2.415879964828491	755.0032155506631	2.870511054992676
['55293_AT1']	755.003215550663	2.3605055809020996	755.003215550663	2.3083057403564453
['3945_AT1']	755.003215550663	3.234290361404419	755.003215550663	2.4158129692077637
['92483_AT1']	755.0032155506631	2.5899293422698975	755.0032155506631	4.839049577713013
['160287_AT1']	755.0032155506631	3.981494188308716	755.0032155506631	3.8453352451324463
['3948_AT1', '3948_AT2']	755.003215550663	4.721724033355713	755.003215550663	3.9508213996887207
['3939_AT1']	755.003215550663	4.219380140304565	755.003215550663	5.051724672317505
['134526_AT1']	755.003215550663	3.8177390098571777	755.003215550663	3.8967125415802
['51_AT1', '51_AT2']	755.0032155506631	3.929957628250122	755.0032155506631	5.032368183135986
['95_AT1']	755.0032155506632	3.9470369815826416	755.0032155506632	3.9332785606384277
['50_AT1']	755.003215550663	3.7838096618652344	755.003215550663	3.904680013656616
['48_AT1']	755.0032155506632	5.1937096118927	755.0032155506632	4.248413324356079
['8309_AT1']	755.003215550663	3.7220427989959717	755.003215550663	3.8424296379089355
['55_AT1']	755.003215550663	4.19043755531311	755.003215550663	6.1779515743255615
['52_AT1', '52_AT2', '52_AT3']	755.003215550663	3.8789334297180176	755.003215550663	3.1985089778900146
['788_AT1']	755.0032155506631	3.2044029235839844	755.0032155506631	3.575162410736084
['9194_AT1']	755.0032155506633	4.955383777618408	755.0032155506633	3.3287034034729004
['55902_AT1', '55902_AT2']	755.003215550663	3.6910598278045654	755.003215550663	3.0079610347747803
['9123_AT1']	755.003215550663	3.6512227058410645	755.003215550663	3.200732469558716
['6566_AT1']	755.0032155506626	5.34101414680481	755.0032155506626	3.1743173599243164
['65985_AT1']	755.003215550663	3.5940468311309814	755.003215550663	2.8845794200897217
['8671_AT1']	755.003215550663	3.7174887657165527	755.003215550663	2.6925055980682373
['438_AT1']	755.003215550663	3.7504119873046875	755.003215550663	5.146815299987793
['1571_AT1']	755.003215550663	3.371467351913452	755.003215550663	2.9965102672576904
['57835_AT1', '57835_AT2', '57835_AT3', '57835_AT4']	755.003215550663	3.2595934867858887	755.003215550663	3.205242395401001
['100_AT1']	755.003215550663	3.7430334091186523	755.003215550663	3.319082736968994
['8050_AT1']	755.003215550663	3.2600317001342773	755.003215550663	5.026870489120483
['1738_AT1']	755.003215550663	3.397559881210327	755.003215550663	2.796908140182495
['3177_AT1']	746.7371380971582	3.9933087825775146	746.7371380971582	4.230046510696411
['4967_AT1', '4967_AT2']	755.003215550663	3.3176374435424805	755.003215550663	3.032837152481079
['1743_AT1']	755.003215550663	3.2191545963287354	755.003215550663	2.6397154331207275
['126_AT1']	755.0032155506631	6.205212593078613	755.0032155506631	3.049862861633301
['128_AT1']	755.003215550663	3.2827751636505127	755.003215550663	2.695007085800171
['204_AT1', '204_AT2', '204_AT3']	752.0853772719868	3.921090841293335	752.0853772719868	3.1439287662506104
['130_AT1']	755.0032155506631	3.6790480613708496	755.0032155506631	2.3996987342834473
['127_AT1']	755.0032155506631	3.696993589401245	755.0032155506631	5.910540819168091
['205_AT1', '205_AT2', '205_AT3']	755.0032155506635	3.1542844772338867	755.0032155506635	2.831791639328003
['131_AT1']	755.0032155506631	3.5328481197357178	755.0032155506631	2.978478193283081
['124_AT1']	755.0032155506631	3.7213757038116455	755.0032155506631	2.757289171218872
['125_AT1']	755.0032155506631	4.287456512451172	755.0032155506631	3.5348799228668213
['137872_AT1']	755.0032155506635	4.086372137069702	755.0032155506635	3.4654691219329834
['26289_AT1', '26289_AT2']	700.6846395636252	6.954663991928101	700.6846395636252	3.3607728481292725
['50808_AT1']	755.003215550663	3.31308913230896	755.003215550663	3.121119737625122
['1312_AT1', '1312_AT2']	755.003215550663	4.5237977504730225	755.003215550663	4.392301082611084
['262_AT1']	755.003215550663	3.2903690338134766	755.003215550663	3.7850501537323
['117247_AT1']	755.003215550663	2.8585479259490967	755.003215550663	2.3509490489959717
['222_AT1']	755.003215550663	2.198471784591675	755.003215550663	2.4877214431762695
['113_AT1']	755.003215550663	5.61344051361084	755.003215550663	2.2858428955078125
['218_AT1']	755.003215550663	2.414128065109253	755.003215550663	2.2230288982391357
['108_AT1']	755.003215550663	2.186100959777832	755.003215550663	2.2121942043304443
['220_AT1']	755.003215550663	3.1665399074554443	755.003215550663	4.851070165634155
['221_AT1']	755.003215550663	4.404769420623779	755.003215550663	4.08347749710083
['114_AT1']	755.003215550663	4.0973687171936035	755.003215550663	4.237718820571899
['111_AT1']	755.003215550663	4.422114133834839	755.003215550663	8.002861738204956
['3242_AT1']	755.003215550663	3.080901622772217	755.003215550663	2.7439160346984863
['115_AT1']	755.003215550663	3.701873779296875	755.003215550663	3.201528787612915
['18_AT1', '18_AT2']	755.0032155506631	3.604001998901367	755.0032155506631	3.4771125316619873
['109_AT1']	755.003215550663	3.1559221744537354	755.003215550663	2.6243374347686768
['55811_AT1']	755.003215550663	3.7452685832977295	755.003215550663	3.17655348777771
['196883_AT1']	755.003215550663	3.7496609687805176	755.003215550663	6.870948553085327
['2531_AT1']	755.003215550663	2.612722873687744	755.003215550663	3.832355260848999
['107_AT1']	755.003215550663	3.7304153442382812	755.003215550663	3.745727777481079
['23498_AT1']	755.003215550663	3.1729960441589355	755.003215550663	2.6511480808258057
['112_AT1', '112_AT2']	755.003215550663	3.673333168029785	755.003215550663	3.2831904888153076
['55268_AT1']	755.003215550663	3.3595616817474365	755.003215550663	3.184906244277954
['51166_AT1', '51166_AT2']	755.003215550663	3.291598081588745	755.003215550663	2.8946826457977295
['2030_AT1']	753.5385592487314	7.636030435562134	753.5385592487314	3.2278339862823486
['883_AT1']	755.003215550663	2.6347858905792236	755.003215550663	3.806668281555176
['1644_AT1']	755.003215550663	3.2710983753204346	755.003215550663	3.9422667026519775
['4129_AT1']	755.003215550663	2.6965928077697754	755.003215550663	3.1887989044189453
['64078_AT1']	755.003215550663	3.5776851177215576	755.003215550663	3.580573320388794
['4128_AT1']	755.003215550663	3.186333417892456	755.003215550663	2.944213628768921
['9153_AT1']	755.003215550663	7.594167709350586	755.003215550663	3.4875638484954834
['9154_AT1', '9154_AT2']	755.003215550663	3.460350513458252	755.003215550663	2.9660298824310303
['10165_AT1']	755.003215550663	3.317415475845337	755.003215550663	3.1141223907470703
['55315_AT1']	755.003215550663	3.87839674949646	755.003215550663	2.540985584259033
['8604_AT1']	755.003215550663	3.4031665325164795	755.003215550663	3.924111843109131
['245972_AT1']	755.003215550663	3.8777332305908203	755.003215550663	3.861032724380493
['2572_AT1']	755.003215550663	4.096604347229004	755.003215550663	8.058092594146729
['9114_AT1']	755.003215550663	3.6935157775878906	755.003215550663	3.155641555786133
['11164_AT1']	755.003215550663	3.7157154083251953	755.003215550663	3.7620887756347656
['952_AT1']	755.003215550663	3.7649900913238525	755.003215550663	3.826125144958496
['2571_AT1', '2571_AT2']	755.003215550663	3.325104236602783	755.003215550663	4.180927991867065
['51380_AT1']	755.003215550663	3.8326942920684814	755.003215550663	3.5083394050598145
['1375_AT1', '1375_AT2', '1375_AT3', '1375_AT4']	755.003215550663	4.233636140823364	755.003215550663	7.345244884490967
['533_AT1']	755.003215550663	3.3715269565582275	755.003215550663	3.8429148197174072
['2805_AT1']	755.0032155506632	3.473345994949341	755.0032155506632	4.10493540763855
['1374_AT1']	755.0032155506632	3.4370386600494385	755.0032155506632	3.9148013591766357
['2806_AT1']	755.003215550663	3.952475070953369	755.003215550663	3.351743698120117
['8659_AT1', '8659_AT2']	755.0032155506627	3.548757791519165	755.0032155506627	3.5957448482513428
['126129_AT1']	755.003215550663	4.134695529937744	755.003215550663	3.8297290802001953
['10312_AT1', '10312_AT2']	755.003215550663	6.167466640472412	755.003215550663	2.2395617961883545
['535_AT1']	755.003215550663	2.2401604652404785	755.003215550663	2.3745388984680176
['6817_AT1', '6817_AT2', '6817_AT3', '6817_AT4', '6817_AT5']	755.003215550663	2.211590051651001	755.003215550663	2.2314374446868896
['523_AT1']	755.003215550663	2.2434957027435303	755.003215550663	2.247248649597168
['1376_AT1']	755.003215550663	2.2977638244628906	755.003215550663	2.347015142440796
['9060_AT1']	755.003215550663	3.0526654720306396	755.003215550663	4.117241859436035
['8992_AT1']	755.003215550663	7.845706224441528	755.003215550663	3.7283718585968018
['9061_AT1']	755.003215550663	4.02262544631958	755.003215550663	3.9876813888549805
['158_AT1', '158_AT2']	755.003215550663	3.1783945560455322	755.003215550663	3.5611820220947266
['9550_AT1']	755.003215550663	3.654120922088623	755.003215550663	3.8562545776367188
['6799_AT1', '6799_AT2']	755.003215550663	3.8727855682373047	755.003215550663	3.8950328826904297
['4363_AT1']	755.003215550663	3.4925949573516846	755.003215550663	3.8713059425354004
['529_AT1']	755.003215550663	3.572942018508911	755.003215550663	7.414060115814209
['6822_AT1']	755.003215550663	3.7858402729034424	755.003215550663	4.0104005336761475
['6573_AT1', '6573_AT2']	755.0032155506632	3.51547908782959	755.0032155506632	3.9877867698669434
['146712_AT1']	755.003215550663	3.73701548576355	755.003215550663	3.357419013977051
['528_AT1', '528_AT2']	755.003215550663	3.9603383541107178	755.003215550663	3.3953311443328857
['316_AT1']	755.003215550663	3.8150789737701416	755.003215550663	3.8770782947540283
['6571_AT1']	755.003215550663	3.826561450958252	755.003215550663	7.651078224182129
['6570_AT1']	755.003215550663	3.820298194885254	755.003215550663	3.91443133354187
['10331_AT1']	755.003215550663	3.850393772125244	755.003215550663	3.6845502853393555
['51382_AT1']	755.003215550663	3.928842306137085	755.003215550663	3.8505513668060303
['90423_AT1']	755.003215550663	4.089682579040527	755.003215550663	3.996598958969116
['374907_AT1', '374907_AT2']	755.003215550663	4.099094867706299	755.003215550663	4.045625448226929
['2352_AT1']	755.003215550663	3.89033579826355	755.003215550663	3.9022741317749023
['10678_AT1', '10678_AT2']	755.003215550663	7.673889636993408	755.003215550663	3.796790838241577
['51606_AT1', '51606_AT2', '51606_AT3']	755.003215550663	4.054571866989136	755.003215550663	3.778986692428589
['11041_AT1']	755.003215550663	3.4705722332000732	755.003215550663	3.6825242042541504
['93010_AT1']	755.003215550663	3.5314393043518066	755.003215550663	3.2380971908569336
['9296_AT1']	755.003215550663	3.3253910541534424	755.003215550663	3.7779123783111572
['2348_AT1', '2348_AT2', '2348_AT3', '2348_AT4', '2348_AT5', '2348_AT6']	755.003215550663	4.096097230911255	755.003215550663	3.8606908321380615
['79369_AT1']	755.003215550663	4.148097276687622	755.003215550663	7.902744293212891
['4125_AT1']	755.003215550663	3.6703367233276367	755.003215550663	3.08957839012146
['79814_AT1']	755.003215550663	3.9442601203918457	755.003215550663	3.848996877670288
['53947_AT1']	755.003215550663	3.5004794597625732	755.003215550663	3.6530909538269043
['51146_AT1']	755.003215550663	3.6768720149993896	755.003215550663	3.9393351078033447
['954_AT1', '954_AT2']	755.003215550663	3.8973073959350586	755.003215550663	3.645165205001831
['28_AT1']	755.003215550663	3.7104685306549072	755.003215550663	8.017671346664429
['953_AT1']	755.003215550663	3.4056642055511475	755.003215550663	4.109512567520142
['206358_AT1']	755.003215550663	3.3077354431152344	755.003215550663	3.8785758018493652
['957_AT1']	755.003215550663	3.400111198425293	755.003215550663	3.98651123046875
['56895_AT1']	755.003215550663	3.5687057971954346	755.003215550663	3.67543625831604
['6540_AT1']	755.003215550663	3.8673312664031982	755.003215550663	4.058274984359741
['137964_AT1']	755.003215550663	3.5652153491973877	755.003215550663	8.203128814697266
['129642_AT1']	755.003215550663	3.514113187789917	755.003215550663	4.054243803024292
['956_AT1']	755.003215550663	3.5032706260681152	755.003215550663	3.7527883052825928
['955_AT1']	755.003215550663	3.6262621879577637	755.003215550663	3.897937297821045
['6539_AT1']	755.003215550663	3.5932726860046387	755.003215550663	3.932870388031006
['56894_AT1', '56894_AT2']	755.003215550663	3.914006471633911	755.003215550663	3.438673973083496
['10555_AT1']	755.003215550663	3.748654365539551	755.003215550663	3.682239532470703
['55326_AT1']	755.003215550663	7.7596962451934814	755.003215550663	3.6969540119171143
['10554_AT1']	755.003215550663	3.9358654022216797	755.003215550663	3.9097659587860107
['6529_AT1']	755.003215550663	3.6377463340759277	755.003215550663	3.829798936843872
['6538_AT1']	755.003215550663	3.809628486633301	755.003215550663	3.5644309520721436
['10449_AT1']	755.0032155506631	3.684021472930908	755.0032155506631	3.640554428100586
['38_AT1']	755.003215550663	3.9208145141601562	755.003215550663	3.8674509525299072
['64850_AT1']	755.003215550663	7.652163505554199	755.003215550663	3.9453680515289307
['377841_AT1']	755.003215550663	4.083619832992554	755.003215550663	3.9211959838867188
['3032_AT1']	755.0032155506631	3.6987719535827637	755.0032155506631	4.2941577434539795
['292_AT1']	747.7744613592206	3.216325044631958	747.7744613592206	3.6771883964538574
['293_AT1']	730.9880193607988	4.101125717163086	730.9880193607988	3.576831102371216
['64902_AT1']	755.003215550663	3.9972593784332275	755.003215550663	3.588191509246826
['3030_AT1']	755.003215550663	4.129903793334961	755.003215550663	8.350176334381104
['189_AT1']	755.003215550663	3.977376937866211	755.003215550663	3.835174798965454
['291_AT1']	747.7744613592206	3.6559362411499023	747.7744613592206	3.8196864128112793
['39_AT1']	755.003215550663	3.850029230117798	755.003215550663	4.0764923095703125
['30_AT1']	755.0032155506631	3.847651481628418	755.0032155506631	3.6945011615753174
['32_AT1']	755.003215550663	3.9665446281433105	755.003215550663	3.446092128753662
['9197_AT1']	755.003215550663	4.0974791049957275	755.003215550663	8.755477905273438
['4126_AT1']	755.003215550663	4.079385280609131	755.003215550663	4.196861982345581
['3073_AT1']	755.003215550663	3.489302158355713	755.003215550663	3.8379321098327637
['3074_AT1']	755.003215550663	3.8030757904052734	755.003215550663	3.726675271987915
['79611_AT1']	755.003215550663	4.389558792114258	755.003215550663	4.175149202346802
['10606_AT1']	755.003215550663	4.014642953872681	755.003215550663	3.8567957878112793
['8706_AT1', '8706_AT2', '8706_AT3', '8706_AT4']	755.003215550663	3.895172357559204	755.003215550663	3.820615768432617
['84532_AT1']	755.003215550663	7.735150575637817	755.003215550663	3.7923872470855713
['64841_AT1']	755.003215550663	3.614227294921875	755.003215550663	3.678799629211426
['55577_AT1']	755.003215550663	3.733870506286621	755.003215550663	3.8571035861968994
['5238_AT1']	755.003215550663	4.088057041168213	755.003215550663	3.2703769207000732
['8705_AT1']	755.003215550663	3.6430540084838867	755.003215550663	4.112409830093384
['9487_AT1']	755.003215550663	3.419964551925659	755.003215550663	4.042882204055786
['10317_AT1', '10317_AT2', '10317_AT3', '10317_AT4', '10317_AT5']	755.003215550663	7.520570278167725	755.003215550663	2.314563751220703
['162417_AT1']	755.003215550663	2.289184808731079	755.003215550663	2.290942907333374
['43_AT1', '43_AT2']	755.003215550663	2.278378486633301	755.003215550663	2.345957040786743
['6572_AT1']	755.003215550663	2.3088388442993164	755.003215550663	2.3577158451080322
['84002_AT1']	755.003215550663	2.3386857509613037	755.003215550663	2.308176040649414
['47_AT1', '47_AT2']	755.003215550663	2.3024356365203857	755.003215550663	2.3423831462860107
['570_AT1']	755.003215550663	2.4041588306427	755.003215550663	5.781362771987915
['3141_AT1']	755.003215550663	2.454490900039673	755.003215550663	2.4909307956695557
['54187_AT1']	755.003215550663	2.4985201358795166	755.003215550663	2.5066616535186768
['140679_AT1']	755.003215550663	2.521266222000122	755.003215550663	2.5161828994750977
['26503_AT1']	755.003215550663	2.5414512157440186	755.003215550663	2.567805528640747
['54_AT1']	755.003215550663	2.5126307010650635	755.003215550663	2.502068042755127
['8424_AT1']	755.003215550663	2.4853196144104004	755.003215550663	8.581875801086426
['51205_AT1']	755.003215550663	4.107091665267944	755.003215550663	4.001683950424194
['53630_AT1']	755.003215550663	3.9087278842926025	755.003215550663	3.88179349899292
